Agency,Department,Name,Title,Room Number,Street Address,City,State,Zip Code,Telephone,Fax,Email Address,Website,Online Request Form,Notes
*,Department of Homeland Security,,FOIA Public Liaison,,,,,,001-425-597-7826x4001,389.404.9729,ghernandez@yahoo.com,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,590-644-3121x515,,,,,
*,Department of Health and Human Services,,FOIA Requester Service Center,,,,,,001-636-226-9108x4016,,,,,
*,Department of Veterans Affairs,*,FOIA Public Liaison,,,,,,469.755.5147,,,,,
*,*,*,FOIA Public Liaison,*,*,Washington,DC,*,2096449361,,pmartinez@hotmail.com,*,http://www.doi.gov/foia/foia-request-form.cfm,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Homeland Security,*,FOIA Public Liaison,,,,,,566.873.5673x90870,,,,,
*,Department of Agriculture,*,FOIA Public Liaison,*,*,Washington,DC,*,194-723-8411x19785,001-023-286-9566x711,ljones@yahoo.com,*,,
*,Department of Energy,*,FOIA Officer,*,*,*,*,*,+1-469-061-1930,0099769797,christophersloan@hotmail.com,*,*,
*,Department of Homeland Security,,FOIA Requester Service Center,,,,,,+1-959-062-1111x51038,,,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,+1-085-610-3975x523,,,,,
*,Department of Health and Human Services,*,*,,,,,,745-740-9430x0737,,,,,
*,*,*,FOIA Public Liaison,,,,,,(616)455-3482x137,,,,,
*,Department of Commerce,*,FOIA Officer,*,,*,MD,*,875-193-8470x023,001-166-463-7409x055,swillis@yahoo.com,*,,
*,*,*,FOIA Public Liaison,*,*,*,*,*,046-233-5003x09967,282.573.8350x409,,*,https://hudpal.efoia-host.com/palMain.aspx,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Labor ,*,*,*,*,Washington,DC,*,(681)886-5739x13593,+1-690-267-8287x36916,,*,,
*,*,*,FOIA Officer,*,*,*,VA,*,(762)968-0572x052,922.463.7445x8445,,*,http://www.doi.gov/foia/foia-request-form.cfm,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Commerce,,FOIA Requester Service Center,,,,,,285-695-4198,,,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,+1-610-561-3791x0429,,,,,
*,Department of Commerce,*,FOIA Public Liaison,,,,,,(312)255-9188x3369,,,,,
*,Department of Energy,*,FOIA Officer,,*,*,*,*,940.775.0410x390,053.207.6010,ngarcia@gmail.com,,,
*,*,*,FOIA Officer,*,*,*,*,*,586-557-0363x0008,323.474.1321x435,kellyblake@yahoo.com,*,http://www.doi.gov/foia/foia-request-form.cfm,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Defense,*,FOIA Public Liaison,,,*,,,001-174-992-1477x245,,,,,
*,Department of Veterans Affairs,*,FOIA Public Liaison,,,,,,,,,,,
*,Department of Labor ,,FOIA Requester Service Center,,,,,,2442092757,,,,,
*,Department of Defense,*,*,*,*,*,*,*,(734)873-6733,123-686-8129,rnewman@gmail.com,*,*,
*,Department of Veterans Affairs,,FOIA Public Liaison,,,,,,+1-355-271-6948x407,,,,,
*,Department of Homeland Security,,FOIA Public Liaison,,,,,,368-060-3471x397,,,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,521.063.1932x8615,,,,,
*,Department of Energy,,FOIA Public Liaison,,,,,,029-179-4255,7491796215,,,,
*,*,*,FOIA Public Liaison,,,,,,001-101-828-3366,,,,,
*,Department of Justice,*,*,*,*,Washington,DC,*,001-871-288-8827x6589,001-268-778-1467,billyhumphrey@yahoo.com,*,,
*,Department of Defense,*,*,*,*,*,VA,*,(364)290-6696x32721,(731)292-8326,hmiller@yahoo.com,*,,
*,Department of Justice,*,*,*,*,Washington,DC,20530-0001,001-339-849-5031,,jacksontimothy@yahoo.com,,,
*,*,*,FOIA Public Liaison,*,*,*,*,*,041-884-7461,867-890-9033x7578,,,https://www.treasury.gov/foia/pages/gofoia.aspx,
*,Department of Veterans Affairs,*,*,*,"810 Vermont Avenue, NW",Washington,DC,20420,078.737.7499x32419,206.797.1264x8096,,http://www.foia.va.gov/,,
*,*,*,FOIA Public Liaison,,,,,,(568)055-6647x467,6957495317,,,,
*,Department of Justice,,FOIA Requester Service Center,,,,,,304-928-1794,,,,,
*,Department of Homeland Security,*,*,,,Washington,DC,*,001-409-480-9872x2169,510-461-9071,ybrown@hotmail.com,*,,
*,Department of Energy,*,FOIA Public Liaison,,,,,,001-467-424-4409x6214,,,,,
*,Department of Defense,,FOIA Requester Service Center,,,,,,,,,,,
*,Department of Defense,,FOIA Requester Service Center,*,,Washington,,,8886363580,,,,,
*,Department of Defense,*,FOIA Public Liaison,,*,,,,001-096-021-4599,,fosternoah@hotmail.com,,,
*,*,*,FOIA Officer,*,*,Washington,DC,*,001-162-300-7375x561,001-821-565-5731x691,vegazachary@gmail.com,*,http://www.doi.gov/foia/foia-request-form.cfm,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Veterans Affairs,,FOIA Requester Service Center,,,,,,001-455-890-2837,,,,,
*,Department of Veterans Affairs,,FOIA Requester Service Center,,,,,,+1-157-995-9358x995,,,,,
*,Department of Veterans Affairs,,FOIA Requester Service Center,,,,,,001-543-505-7309,,,,https://www.treasury.gov/foia/pages/gofoia.aspx,
*,Department of Veterans Affairs,*,*,*,"810 Vermont Avenue, NW",Washington,DC,20420,(800)969-8838x72922,(753)774-1842,,http://www.foia.va.gov/,,
*,Department of Defense,,FOIA Requester Service Center,,,,,,901-416-0780,4893892200,,,,
*,Department of Commerce,*,FOIA Public Liaison,,,,,,(316)792-7985x10269,,sellersstephanie@hotmail.com,,,
*,Department of Veterans Affairs,*,*,*,"810 Vermont Avenue, NW",Washington,DC,20420,466-620-0888,497-121-3803,,http://www.foia.va.gov/,,
*,Department of Energy,,FOIA Requester Service Center,,*,,,,+1-461-840-3147x7648,,pvazquez@yahoo.com,,,
*,*,*,*,*,*,*,*,*,(428)225-4486x896,+1-397-017-2342x8257,,*,,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Commerce,,FOIA Requester Service Center,,,,,,+1-867-799-4629x93704,,,,,
*,Department of Veterans Affairs,,FOIA Requester Service Center,,,,,,961-407-7739x07988,,,,,
*,Department of Transportation,*,*,*,*,Washington,DC,*,5322936396,082.018.4637,davischristopher@gmail.com,*,http://www.justice.gov/oip/oip-request.html,
*,Department of Transportation,*,FOIA Officer,*,*,Washington,DC,*,416-508-4528x499,001-161-331-6218x84387,ftorres@yahoo.com,*,,
*,Department of Justice,,FOIA Requester Service Center,,,,,,257-689-2629,,,,,
*,Department of Energy,*,FOIA Public Liaison,,,,,,165-698-1898,,,,,
*,Department of Justice,*,*,*,*,*,VA,*,964-435-6046,(776)371-7543x323,nelsonjeremy@yahoo.com,*,,
*,Department of Veterans Affairs,*,*,*,"810 Vermont Avenue, NW",Washington,DC,20420,+1-201-794-4924,+1-501-185-1712x51068,burchbrian@gmail.com,http://www.foia.va.gov/,,
*,Department of Defense,*,*,*,*,*,VA,*,136-518-0813x7100,+1-663-461-7845x0110,lvaldez@yahoo.com,*,,
*,Department of Veterans Affairs,,FOIA Public Liaison,,,,,,+1-247-604-3500x84782,,,,,
*,Department of Veterans Affairs,*,*,*,"810 Vermont Avenue, NW",Washington,DC,20420,304.800.6286,5897853868,,http://www.foia.va.gov/,,
*,Department of Commerce,,FOIA Requester Service Center,,,,,,001-458-499-0419x66390,,,,,
*,Department of Justice,*,*,*,*,Washington,DC,*,+1-197-373-6710x45259,,moranbrett@hotmail.com,*,,
*,*,,FOIA Requester Service Center,,,,,,(208)536-4037,,,,,
*,Department of Labor ,,FOIA Requester Service Center,,,,,,001-062-501-8610x268,,stevensdustin@hotmail.com,,,
*,Department of Agriculture,*,FOIA Public Liaison,*,"1400 Independence Avenue, SW",Washington,DC,*,+1-616-370-5743,4102374854,heatherray@yahoo.com,,,*
*,Department of Transportation,*,*,*,*,Washington,DC,*,514-032-5808x9351,915-329-5890,patrickdunn@gmail.com,*,,
*,Department of Labor ,*,FOIA Officer,*,"200 Constitution Avenue, NW",Washington,DC,*,,823-855-0771,meyertanya@yahoo.com,*,,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Defense,*,FOIA Public Liaison,,,,,,001-465-985-1991,(010)128-5556x96023,jamessandoval@gmail.com,*,*,
*,Department of Defense,,FOIA Requester Service Center,,,,,,(214)453-7571,,campbellandrea@hotmail.com,,,
*,Department of Energy,,FOIA Officer,*,*,*,*,*,001-962-259-5216x4444,725.385.0352,susan01@hotmail.com,*,*,
*,Department of Agriculture,,FOIA Requester Service Center,,,,,,408.814.0754,,craigwalsh@gmail.com,*,,
*,*,*,*,*,*,Washington,DC,*,(202)965-7261x7519,538-458-6658,james50@yahoo.com,*,*,This agency has additional FOIA contact information that can be found by visiting its website.
*,Department of Defense,*,*,*,*,*,DC,*,423-751-5477x8029,433.641.9187,rwalters@hotmail.com,*,*,
*,Department of Justice,,FOIA Requester Service Center,,,,,*,+1-097-766-1071x296,,,,,
*,Department of Justice,*,*,*,*,Washington,DC,20530-0001,9138940420,,russellbailey@yahoo.com,*,,
*,Department of Health and Human Services,*,FOIA Public Liaison,,,,,,001-574-461-3272,,,,,
*,*,,FOIA Requester Service Center,,,,,,001-528-331-0441x136,,,,,
*,*,*,FOIA Officer,*,*,*,*,*,371.022.1550x84543,001-718-249-4464x34534,caldwellrobert@hotmail.com,*,http://www.doi.gov/foia/foia-request-form.cfm,This office has additional FOIA contact information that can be found by visiting its website.
*,*,*,*,*,*,*,*,*,558.462.1026,+1-535-057-7347x014,,,,
*,Department of Agriculture,*,FOIA Public Liaison,,,,,,987.918.5145,,,,,
*,Department of Justice,,FOIA Requester Service Center,,,,,,(413)055-3319x61554,,,,,
*,Department of Veterans Affairs,*,*,*,"810 Vermont Avenue, NW",Washington,DC,20420,5520452577,344-785-6866x053,,http://www.foia.va.gov/,,
*,*,*,*,*,*,Washington,DC,*,6454207685,379-799-3887x4445,,*,https://www.treasury.gov/foia/pages/gofoia.aspx,
*,Department of Agriculture,*,FOIA Public Liaison,,,,,,(016)511-3222,,,,,
*,Department of Commerce,*,*,*,*,Washington,DC,*,222.811.9714,116.787.8824x47352,smithanthony@yahoo.com,*,,
*,Department of Veterans Affairs,*,FOIA Public Liaison,,,,,,,,,,,
*,Department of Commerce,*,FOIA Officer,*,*,Washington,DC,*,+1-845-844-5716,2529559461,aknight@yahoo.com,*,,
*,Department of Defense,*,FOIA Public Liaison,,,,,,186.419.0156,,reeveselizabeth@hotmail.com,,,
*,Department of Defense,*,FOIA Public Liaison,,,,,,609.805.6447,,adamsfrancisco@gmail.com,,,
*,*,,FOIA Requester Service Center,,,,,,174-761-6971x908,,,,,
*,Department of Defense,,FOIA Requester Service Center,,,,,,(079)977-8757,,,,,
*,Department of Energy,*,FOIA Officer,*,*,*,*,*,4227989012,(271)709-6168x8133,butlercollin@gmail.com,*,*,
*,Department of Justice,,FOIA Requester Service Center,,,,,,(822)866-6190x4616,,,,,
*,Department of Labor ,,FOIA Requester Service Center,,,,,,001-158-004-3309x385,,,,,
*,Department of Defense,,FOIA Requester Service Center,,,,,,452.247.6320,,,,,
*,Department of Defense,*,FOIA Public Liaison,,,,,,777-648-8703,,mitchellsusan@yahoo.com,,,
*,*,*,FOIA Public Liaison,,*,*,*,*,7809874984,001-815-660-0916x325,,*,https://hudpal.efoia-host.com/palMain.aspx,This office has additional FOIA contact information that can be found by visiting its website.
*,*,*,FOIA Public Liaison,*,*,Washington,DC,*,4752673014,(994)307-3038x68724,,,,
*,*,*,*,*,*,*,*,*,(004)097-9095x80490,1256108332,,,,
*,Department of Health and Human Services,*,FOIA Public Liaison,,,,,,(655)213-6250,,,,,
*,Department of Labor ,*,FOIA Public Liaison,,,,,*,,,munozalan@yahoo.com,,,
*,Department of Agriculture,*,FOIA Public Liaison,,,,,*,(251)600-1198,662-620-5073,grahammark@gmail.com,,,
*,Department of Justice,,FOIA Requester Service Center,,,,,,001-739-080-8502x9375,,,,,
*,Department of Health and Human Services,,FOIA Requester Service Center,,,,,,222.998.3868x2508,,,,,
*,Department of Agriculture,*,*,,*,*,*,*,001-389-545-9963,433.905.4127,carmenfox@gmail.com,*,,
*,Department of Transportation,,FOIA Requester Service Center,,,,,,809-104-8445,,,,,
*,Department of Defense,*,*,*,*,*,MD,*,(694)302-5376,400.700.4624x773,jlopez@gmail.com,*,,
*,Department of Defense,,FOIA Requester Service Center,,,,,,251-625-1580,,,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,(272)168-5490x4107,,hmartin@yahoo.com,,,
*,*,,FOIA Requester Service Center,,,,,,001-555-095-9017x871,,,,,
*,Department of Agriculture,*,*,*,"1400 Independence Avenue, SW",Washington,DC,*,+1-627-878-0809x74675,648-641-7092x798,,*,,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Defense,*,*,*,*,*,VA,*,+1-185-743-7918x6529,656.958.6104,gmiller@gmail.com,*,,
*,Department of Defense,,FOIA Requester Service Center,,,,,,(949)450-1273,,,,,
*,Department of Transportation,,FOIA Requester Service Center,,,,,,001-095-106-9004x99248,,,,,
*,Department of Homeland Security,*,FOIA Public Liaison,,,,,,(262)332-4436,,,,,
*,*,,FOIA Requester Service Center,,,,,,0874157530,118-689-9171x70286,david74@yahoo.com,*,*,This agency has additional FOIA contact information that can be found by visiting its website.
*,Department of Veterans Affairs,*,FOIA Public Liaison,,,,,,+1-020-258-1443x5483,,,,,
*,*,,FOIA Requester Service Center,,,,,,001-746-322-3646x200,,,,,
*,Department of Veterans Affairs,*,*,*,"810 Vermont Avenue, NW",Washington,DC,20420,418.598.9014x88373,(164)831-3934,glittle@gmail.com,http://www.foia.va.gov/,,
*,Department of Homeland Security,,FOIA Officer,*,*,Washington,DC,*,848-011-5465,(287)079-4470,bullocklisa@hotmail.com,*,,
*,Department of Justice,,FOIA Requester Service Center,,,,,,+1-805-043-4815x4957,,,,,
*,Department of Transportation,*,*,,*,Washington,DC,*,(133)358-6326x2399,001-856-473-1188x291,jason38@gmail.com,*,,
*,Department of Defense,,FOIA Requester Service Center,,,,,,001-530-314-2435x7795,,sanchezmatthew@yahoo.com,,,
*,Department of Labor ,*,FOIA Public Liaison,*,"200 Constitution Avenue, NW",Washington,DC,*,264-886-2573x5615,+1-897-950-9784x1171,william00@hotmail.com,*,,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Health and Human Services,,FOIA Requester Service Center,,,,,,4541119480,(861)307-8882x777,,,,
*,Department of Veterans Affairs,,FOIA Requester Service Center,,,,,,690.193.1770x85267,762-388-2780x1740,,,,
*,Department of Justice,*,*,*,*,Washington,DC,20530-0001,(615)997-0575x588,001-789-553-3894x17231,,*,http://www.justice.gov/oip/oip-request.html,
*,*,,FOIA Requester Service Center,,,,,,001-010-504-3014x37057,,,,,
*,Department of Homeland Security,*,FOIA Officer,*,*,Washington,DC,*,+1-773-288-6856x23967,(500)206-3326,snyderrandy@yahoo.com,*,,
*,Department of Labor ,*,FOIA Officer,*,"200 Constitution Avenue, NW",Washington,DC,*,+1-948-321-7296x1630,(392)717-4085,,*,,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Homeland Security,*,FOIA Officer,*,*,Washington,DC,*,489-478-7944x1468,+1-914-007-1544x039,anthonycharles@gmail.com,*,*,
*,Department of Labor ,,FOIA Requester Service Center,,,,,,478-104-6738x4518,,azamora@gmail.com,,,
*,Department of Agriculture,*,FOIA Public Liaison,,,,,,1521623064,,,,,
*,Department of Labor ,*,FOIA Public Liaison,,,,,,+1-089-313-8017x77640,,christopher88@yahoo.com,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,842.638.1037x43090,,,,,
*,Department of Health and Human Services,*,*,*,*,Washington,*,*,702.793.2249x3877,(321)837-7344x6490,,*,*,
*,Department of Homeland Security,,FOIA Officer,*,*,Washington,DC,*,2774493595,726-944-8985x49018,,*,*,
*,Department of Veterans Affairs,*,FOIA Public Liaison,,,,,,792-242-2392x4276,,,,,
*,Department of Labor ,*,*,*,"200 Constitution Avenue, NW",Washington,DC,*,917-099-3229x40663,(532)935-2373,jeannemosley@gmail.com,*,,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Agriculture,*,FOIA Public Liaison,*,,,,,001-602-572-9166,,,,,
*,Department of Justice,*,*,*,*,Washington,DC,20530-0001,(317)582-6990x02158,(617)165-7816,,*,http://www.justice.gov/oip/oip-request.html,
*,Department of Veterans Affairs,,FOIA Requester Service Center,,,,,,,,,,,
*,Department of Defense,,FOIA Requester Service Center,,,,,,+1-293-841-3667x186,,,,,
*,Department of Commerce,,FOIA Requester Service Center,,,,,,102-883-2101x00703,,,,,*
*,Department of Justice,*,FOIA Public Liaison,,,,,,250.394.4408,,,,,
*,Department of Veterans Affairs,*,FOIA Public Liaison,,,,DC,,,,,,,
*,Department of Health and Human Services,*,*,,,,,,001-673-020-0151x8714,,,,,
*,Department of Veterans Affairs,*,FOIA Public Liaison,,,,,,656.217.5548x517,,,,,
*,Department of Homeland Security,*,FOIA Requester Service Center,,,,,,969-003-7224x936,,,,,
*,Department of Defense,*,*,*,*,*,*,*,615-854-4587x490,001-239-053-7611,sandovalcarolyn@yahoo.com,*,*,
*,*,*,*,*,*,Washington,DC,*,(044)598-6836,6476326009,,*,https://www.treasury.gov/foia/pages/gofoia.aspx,
*,Department of Veterans Affairs,*,*,*,,Washington,DC,20420,(553)677-9459x3594,263-406-6863,carl06@yahoo.com,http://www.foia.va.gov/,,
*,Department of Energy,*,FOIA Public Liaison,,,,,,,,,,,
*,Department of Labor ,*,FOIA Public Liaison,,,,,,9469831265,,richardjohnson@gmail.com,,,
*,Department of Homeland Security,,FOIA Requester Service Center,,,,,,+1-872-597-8517,,,,,
*,Department of Agriculture,*,FOIA Public Liaison,*,"1400 Independence Avenue, SW",Washington,DC,*,423-672-1802x3914,(393)571-1315x908,fnelson@hotmail.com,,,
*,*,*,FOIA Officer,*,,Washington,DC,*,+1-756-931-4230x1889,001-266-484-3572x470,cheryllong@hotmail.com,*,*,
*,Department of Justice,,FOIA Requester Service Center,,,,,,0148727904,,,,,
*,*,,FOIA Requester Service Center,,,,,,(119)899-8940,,,,,
*,Department of Homeland Security,,FOIA Requester Service Center,,,,,,001-843-497-9878,,,,,
*,Department of Agriculture,*,FOIA Officer,,*,*,*,*,001-075-949-3552x122,896.465.2709,cmoore@gmail.com,*,,
